ID	Sex	Ethnicity	SHORT	NA	GS		
HG00732	Female	PUERTO RICAN	PUR	HG00732	HG00732
NA06985	Female	UTAH/MORMON	CEU	NA06985	GS06985
NA12004	Female	UTAH/MORMON	CEU	NA12004	GS12004
NA12890	Female	UTAH/MORMON	CEU	NA12890	GS12890
NA12892	Female	UTAH/MORMON	CEU	NA12892	GS12892
NA18502	Female	YORUBA	YRI	NA18502	GS18502
NA18505	Female	YORUBA	YRI	NA18505	GS18505
NA18508	Female	YORUBA	YRI	NA18508	GS18508
NA18517	Female	YORUBA	YRI	NA18517	GS18517
NA18526	Female	HAN CHINESE	CHB	NA18526	GS18526
NA18537	Female	HAN CHINESE	CHB	NA18537	GS18537
NA18555	Female	HAN CHINESE	CHB	NA18555	GS18555
NA18942	Female	JAPANESE	JPT	NA18942	GS18942
NA18947	Female	JAPANESE	JPT	NA18947	GS18947
NA18956	Female	JAPANESE	JPT	NA18956	GS18956
NA19017	Female	LUHYA	LWK	NA19017	GS19017
NA19129	Female	YORUBA	YRI	NA19129	GS19129
NA19238	Female	YORUBA	YRI	NA19238	GS19238
NA19648	Female	MEXICAN ANCESTRY	MXL	NA19648	GS19648
NA19669	Female	MEXICAN ANCESTRY	MXL	NA19669	GS19669
NA19701	Female	AFRICAN ANCESTRY	ASW	NA19701	GS19701
NA19704	Female	AFRICAN ANCESTRY	ASW	NA19704	GS19704
NA20502	Female	TOSCANI (TUSCAN)	TSI	NA20502	GS20502
NA20847	Female	GUJARATI INDIAN	GIH	NA20847	GS20847
NA21733	Female	MAASAI	MKK	NA21733	GS21733
NA21767	Female	MAASAI	MKK	NA21767	GS21767
